"photoid";"rating";"tags"
790;4.8649;";"
792;5.7143;";"
793;5.5979;";"
794;6.2139;";"
795;5.4649;";"
796;3.6559;"Urban;Nature"
797;4.9838;";"
798;4.4868;";"
801;5.6927;";"
803;3.6535;";"
805;6.2069;";"
806;4.475;";"
813;5.8019;"Macro;"
815;6.0804;";"
818;4.3503;";"
820;6.1073;";"
821;5.0297;";"
822;5.7981;";"
823;6.0239;";"
826;4.7065;";"
827;6.6749;";"
829;4.63;"Snapshot;Action"
831;5.3707;";"
833;4.9069;";"
834;4.04;";"
835;5.1634;"Action;Water"
836;5.5604;";"
837;5.7122;";"
838;5.4059;";"
840;5.995;"Action;Photojournalism"
841;7.4141;"Water;"
843;7.2736;";"
844;6.6782;";"
845;7.8195;";"
846;5.6927;";"
847;5.1592;";"
848;6.4802;"Macro;Action"
851;5.6515;";"
852;5.1574;";"
857;4.6275;";"
858;6.9057;"Action;"
859;6.6029;";"
861;6.3333;";"
862;7.3961;";"
865;5.1836;";"
866;5.7366;";"
868;5.7512;";"
869;3.7436;";"
872;5.8081;";"
873;4.5637;";"
875;6.6078;";"
876;4.435;";"
877;2.6219;";"
879;5.1111;";"
881;4.7941;";"
882;5.8922;";"
883;3.3433;"Macro;"
884;3.1337;";"
886;4.5545;";"
887;2.9175;";"
888;6.7696;"Humorous;Portraiture"
889;3.8955;";"
890;3.3659;";"
893;4.1805;";"
894;4.797;";"
896;6.3398;";"
897;5.7644;";"
899;5.4335;";"
900;5.6888;";"
901;5.9798;"Still;Macro"
902;5.9397;"Abstract;Water"
903;5.6537;";"
904;5.8643;";"
912;4.9703;";"
916;5.1351;";"
917;5.98;"Humorous;Performance"
918;4.7766;";"
919;4.2886;";"
920;5.5961;";"
921;2.8342;";"
922;3.7524;"Animals;"
923;5.4213;";"
924;5.9559;";"
925;5.3251;";"
926;6.3781;";"
927;5.7035;"Family;Action"
929;4.934;";"
930;5.5942;";"
931;3.8088;";"
932;4.9104;";"
933;4.8458;";"
935;4.4975;";"
936;5.3134;";"
938;5.305;";"
939;5.0545;"Sports;Action"
941;4.8592;";"
943;2.601;";"
944;4.3039;";"
945;5.4098;";"
946;8.0394;";"
947;4.3682;";"
949;3.995;";"
951;5.0859;";"
953;4.9701;";"
955;5.16;"Sky;Nature"
956;5.8308;";"
957;5.1859;";"
959;3.52;";"
978;6.4689;"Urban;"
979;6.8932;";"
983;6.7363;"Animals;"
989;5.5404;";"
991;5.5198;"Black;Macro"
996;6.075;";"
997;5.6355;";"
1000;5.58;";"
1004;6.2146;"Urban;Macro"
1005;5.6633;";"
1006;6.3881;"Still;Black"
1008;5.3881;";"
1010;5.0816;";"
1013;6.198;";"
1016;6.0352;";"
1017;5.3416;";"
1023;4.2778;";"
1024;5.7085;"Macro;"
1025;6.4;";"
1030;5.0202;";"
1031;5.4554;";"
1033;4.761;";"
1034;4.9801;";"
1035;3.2178;";"
1036;3.9604;";"
1037;3.17;";"
1038;5.7171;";"
1039;4.7673;";"
1042;4.393;";"
1046;4.2092;";"
1047;4.4179;";"
1048;5.0049;";"
1051;4.8856;";"
1052;5.2878;"Architecture;Black"
1054;6.0887;";"
1055;5.6422;";"
1057;3.82;";"
1097;5.7039;";"
1098;5.4559;";"
1100;3.8719;";"
1104;4.9303;";"
1105;2.4091;";"
1106;4.5025;";"
1107;5.2718;";"
1108;6.3039;";"
1109;5.7707;"Family;Emotive"
1111;4.7805;";"
1112;5.5297;";"
1113;5.0246;";"
1115;4.6318;";"
1116;5.0597;";"
1117;5.1415;";"
1118;6.7129;";"
1119;3.7624;";"
1120;5.5641;";"
1121;4.1156;";"
1122;5.5539;"Abstract;"
1123;5.9495;"Sky;Nature"
1124;6.3762;"Urban;Architecture"
1125;5.2634;";"
1126;5.202;";"
1127;3.47;"Photojournalism;"
1129;4.2353;"Cityscape;Travel"
1130;6.2772;"Abstract;Studio"
1131;6.1814;";"
1132;6.6847;";"
1133;5.43;";"
1134;4.2965;";"
1135;4.6442;";"
1136;4.6869;";"
1138;6.0398;";"
1139;4.1364;";"
1140;5.8544;";"
1141;6.1194;"Emotive;Black"
1142;4.051;"Abstract;Cityscape"
1143;5.9353;";"
1144;4.101;";"
1145;4.8878;";"
1146;4.3401;";"
1147;6.2154;";"
1149;5.6436;";"
1151;6.0739;";"
1152;5.2239;";"
1154;4.3869;";"
1155;6.0;"Animals;"
1157;5.3137;";"
1158;6.5729;"Nature;"
1159;6.275;";"
1160;3.599;";"
1161;4.27;";"
1162;4.7129;"Urban;"
1164;7.4706;"Still;Floral"
1165;6.025;";"
1166;6.385;";"
1167;5.5455;";"
1168;5.1089;";"
1169;4.4082;";"
1171;6.3622;";"
1172;5.6566;";"
1175;6.4307;";"
1176;4.288;";"
1177;4.4897;";"
1178;3.9312;";"
1184;6.1692;";"
1185;3.2865;";"
1187;6.2338;";"
1189;4.5208;";"
1194;4.089;";"
1195;3.5585;";"
1197;5.5663;"Candid;Photojournalism"
1198;5.4278;"Abstract;Architecture"
1199;4.3298;";"
1200;6.2308;";"
1203;3.9326;";"
1204;4.3731;";"
1205;5.8115;";"
1206;5.5459;";"
1209;5.3385;";"
1210;5.5417;";"
1212;5.7068;";"
1213;4.9792;";"
1214;5.6492;"Abstract;"
1218;3.8624;"Urban;Architecture"
1219;4.6931;";"
1220;4.9529;";"
1224;4.0471;";"
1229;6.3744;"Nature;Macro"
1234;4.9519;";"
1235;5.5052;";"
1237;5.4219;";"
1238;4.3438;";"
1239;6.765;"Nature;Macro"
1244;4.3834;";"
1249;6.3511;"Sky;Sports"
1253;3.5206;"Performance;"
1254;5.1309;";"
1256;4.9949;";"
1257;6.0305;";"
1260;5.6146;";"
1263;5.5497;";"
1265;5.3571;";"
1267;5.2902;"Abstract;Sports"
1268;5.1333;";"
1269;6.3695;"Sky;Landscape"
1270;6.5692;";"
1272;3.2487;";"
1273;4.2713;";"
1274;5.0476;";"
1279;3.593;";"
1280;4.4154;"Abstract;Sky"
1281;4.2995;";"
1282;3.6739;";"
1285;3.75;";"
1287;4.5079;";"
1288;3.866;"Humorous;"
1289;3.6895;";"
1293;5.6062;";"
1294;5.0781;";"
1295;4.9791;";"
1297;4.2552;"Urban;Action"
1298;4.6436;";"
1299;5.7814;"Sky;Macro"
1300;4.8482;";"
1302;4.9896;";"
1304;5.5897;";"
1305;5.7021;";"
1306;4.5393;";"
1307;5.5266;";"
1308;4.1875;";"
1310;3.5266;";"
1311;5.4712;";"
1313;4.0789;";"
1314;5.2;"Architecture;Black"
1315;5.0366;";"
1316;3.4497;";"
1317;5.8281;";"
1321;4.0269;";"
1322;4.2784;";"
1324;5.1436;";"
1326;6.0567;";"
1327;6.5333;"Humorous;Animals"
1328;6.026;"Architecture;Black"
1329;4.2412;";"
1330;4.9391;"Architecture;"
1331;4.5775;";"
1332;4.712;";"
1333;4.8162;";"
1334;5.776;";"
1335;4.9789;";"
1336;3.8495;";"
1339;6.1421;"Nature;"
1340;5.5924;";"
1341;6.1183;"Architecture;Black"
1346;5.1551;";"
1347;5.6738;";"
1348;4.3989;";"
1350;5.7405;"Nature;Still"
1351;4.328;";"
1353;5.6543;";"
1354;3.6719;"Abstract;Portraiture"
1356;3.5108;";"
1357;4.2381;";"
1359;5.2157;";"
1361;3.7512;";"
1363;5.5729;";"
1364;5.1991;";"
1367;5.4138;"Abstract;"
1368;5.6471;";"
1377;5.3922;";"
1378;4.1912;";"
1380;4.2157;";"
1384;6.8883;"Humorous;Animals"
1385;4.8119;";"
1389;6.25;";"
1391;6.4706;";"
1393;6.2634;";"
1394;6.5652;"Advertisement;"
1396;4.43;";"
1399;5.204;"Political;Advertisement"
1400;6.0588;";"
1401;5.6893;";"
1402;5.3134;";"
1403;5.0603;";"
1404;6.9426;";"
1406;4.6683;";"
1407;5.1313;";"
1408;3.8852;";"
1409;3.8878;";"
1410;4.7923;";"
1411;5.2621;";"
1415;5.9261;";"
1417;4.5672;";"
1419;4.8806;";"
1420;4.0049;";"
1421;4.2792;";"
1422;6.005;"Humorous;Advertisement"
1424;5.355;";"
1426;2.6535;";"
1427;4.1176;"Snapshot;"
1428;6.3283;"Advertisement;"
1433;6.8186;";"
1434;3.9453;";"
1435;4.4257;";"
1439;4.695;";"
1440;5.0437;";"
1441;4.0147;";"
1442;5.401;";"
1443;5.51;";"
1445;6.1667;";"
1449;4.4171;";"
1452;6.4502;";"
1455;5.9902;";"
1456;3.8177;";"
1459;5.0196;";"
1461;5.1005;";"
1462;6.56;";"
1463;7.0936;";"
1464;5.5294;";"
1465;6.3085;";"
1466;6.65;";"
1467;5.62;"Advertisement;Persuasive"
1468;6.5517;"Fashion;Portraiture"
1469;4.3687;";"
1472;5.6188;";"
1473;5.5867;";"
1474;5.2727;";"
1475;5.2386;"Still;Advertisement"
1479;6.0151;";"
1480;6.0195;"Still;"
1486;5.1733;"Humorous;Advertisement"
1487;4.3131;";"
1488;5.8551;";"
1491;5.7756;";"
1493;7.5567;"Studio;Advertisement"
1494;6.4348;"Still;Advertisement"
1497;4.5874;";"
1498;6.8794;"Studio;Advertisement"
1499;5.8;"Advertisement;"
1501;5.5412;";"
1502;5.5735;";"
1503;6.3911;";"
1504;3.8717;";"
1509;7.3646;";"
1510;3.6952;";"
1512;2.1813;";"
1515;4.6719;";"
1517;3.8168;";"
1518;3.7047;";"
1520;5.9343;";"
1522;5.2769;";"
1524;4.4167;";"
1525;4.5781;";"
1526;6.5773;";"
1527;4.8542;"Abstract;Black"
1532;4.3776;";"
1534;3.0;";"
1535;4.3679;";"
1537;4.1905;";"
1541;5.7136;"Abstract;Macro"
1544;3.3472;";"
1545;5.8615;";"
1547;5.4897;";"
1548;4.8105;";"
1549;6.4541;";"
1551;4.6289;";"
1553;3.9072;";"
1554;3.6718;";"
1555;5.1082;";"
1557;4.5427;";"
1558;6.8426;"Humorous;Macro"
1559;4.9581;";"
1560;4.7831;";"
1561;3.5596;"Still;"
1566;5.1503;"Family;Portraiture"
1569;4.9474;"Humorous;Sports"
1570;3.7766;";"
1571;4.2435;";"
1572;4.4623;";"
1574;5.5233;";"
1579;5.198;";"
1583;4.3822;"Family;Humorous"
1584;3.0471;"Family;"
1585;6.8131;"Still;Macro"
1586;4.2974;";"
1587;6.5657;"Architecture;"
1590;6.6154;";"
1591;6.8731;"Humorous;Black"
1593;5.8201;"Animals;"
1594;5.4167;";"
1595;6.5538;";"
1596;4.4271;";"
1597;4.4462;";"
1598;4.3281;";"
1600;6.4485;";"
1601;5.3367;";"
1602;6.1128;"Rural;Water"
1603;4.9585;";"
1604;5.4378;"Cityscape;Water"
1606;4.4564;"Studio;Advertisement"
1608;6.0;";"
1609;6.4433;";"
1610;5.8333;";"
1611;5.1218;";"
1614;3.794;";"
1615;6.841;"Black;Nude"
1616;4.449;"Emotive;"
1617;5.1392;";"
1618;4.3474;";"
1619;6.798;";"
1620;4.4421;"Portraiture;"
1621;7.46;"Cityscape;Still"
1622;4.2985;";"
1623;5.5585;";"
1624;3.4416;";"
1625;4.1217;";"
1626;5.2688;";"
1627;5.1856;";"
1628;4.8629;";"
1629;4.6859;"Animals;"
1630;3.544;";"
1632;5.5938;";"
1633;5.0564;";"
1635;4.3043;";"
1639;4.7302;";"
1641;6.5211;";"
1643;5.114;";"
1644;3.6243;"Vintage;Travel"
1645;6.3731;";"
1647;6.0579;"Still;Black"
1648;5.4439;";"
1649;5.3211;";"
1650;6.1443;"Abstract;Humorous"
1651;4.4202;"Humorous;Animals"
1653;3.5479;";"
1655;4.199;";"
1656;4.3155;";"
1657;3.8796;";"
1658;5.4794;";"
1659;3.9081;"Landscape;"
1662;5.8505;";"
1664;4.8254;"Sky;Vintage"
1665;4.1407;";"
1666;6.0259;"Still;Water"
1667;5.1094;";"
1671;4.3527;";"
1675;4.4098;";"
1676;5.805;";"
1677;7.7537;";"
1678;5.3892;";"
1680;4.0049;";"
1681;3.5024;";"
1685;6.4429;"Black;Studio"
1686;5.803;";"
1687;4.2228;";"
1692;5.1307;";"
1694;4.7429;";"
1695;3.9265;"Humorous;Animals"
1696;5.6634;";"
1697;5.09;";"
1701;4.8889;";"
1702;4.6748;";"
1706;6.0728;";"
1707;6.3155;"Still;Macro"
1709;5.4293;";"
1713;5.1553;";"
1717;4.2727;";"
1719;5.9453;";"
1721;5.5073;";"
1722;6.2976;";"
1725;5.9227;"Sports;Animals"
1727;5.9807;"Sports;Action"
1728;5.0296;"Sports;"
1729;5.8357;";"
1731;6.3107;";"
1732;6.7703;"Sky;Sports"
1735;5.1268;";"
1736;6.4627;"Still;Studio"
1737;5.7624;";"
1740;7.2319;";"
1741;5.5539;";"
1742;5.3155;";"
1743;7.0352;";"
1744;7.3498;"Sports;Still"
1745;5.2178;";"
1746;5.9707;";"
1747;4.7206;";"
1748;5.3738;"Abstract;Action"
1749;5.9275;";"
1750;5.8269;";"
1751;5.5075;";"
1752;4.9171;";"
1753;5.92;";"
1754;5.1841;";"
1755;4.8976;";"
1757;6.5096;"Portraiture;Black"
1758;4.2157;";"
1760;5.5073;"Humorous;"
1761;5.67;";"
1762;5.0539;";"
1763;4.8235;";"
1764;5.9755;";"
1765;5.8465;";"
1766;4.7961;";"
1767;3.995;";"
1768;6.1095;"Still;Studio"
1770;6.2837;"Advertisement;"
1772;4.5686;";"
1774;5.1176;"Sports;"
1776;5.745;";"
1777;4.4798;";"
1778;5.4976;";"
1779;5.199;"Snapshot;Animals"
1780;5.3544;";"
1781;4.3769;";"
1783;6.2379;"Black;Studio"
1784;5.3835;";"
1785;4.794;";"
1786;4.5441;";"
1787;5.6571;";"
1788;5.6567;";"
1789;3.7178;";"
1790;5.3433;";"
1792;5.3251;";"
1793;5.2217;";"
1794;5.3153;";"
1795;3.2732;";"
1798;4.9648;";"
1799;5.3168;";"
1800;6.6078;"Abstract;Still"
1801;4.3431;";"
1803;5.199;";"
1806;5.3433;";"
1809;5.5274;"Family;"
1810;3.6068;";"
1811;4.6683;";"
1812;5.6293;"Sports;"
1813;5.0647;";"
1814;5.2792;";"
1815;4.707;";"
1818;5.7136;"Family;Portraiture"
1819;5.3257;"Sports;Water"
1826;3.6514;"Emotive;Macro"
1827;3.4464;";"
1830;3.6514;";"
1832;4.2477;";"
1835;4.8263;";"
1836;6.507;"Vintage;Portraiture"
1837;3.4484;";"
1838;4.1681;";"
1839;4.1116;";"
1841;4.7558;";"
1842;5.0275;";"
1846;5.3411;";"
1847;4.8667;";"
1848;5.1743;";"
1849;4.1166;";"
1850;5.5695;"Snapshot;Portraiture"
1855;7.3151;"Still;Black"
1856;5.0413;";"
1858;5.7032;";"
1860;6.4885;"Candid;"
1861;6.0046;";"
1862;6.4909;"Portraiture;"
1863;5.0766;";"
1864;4.5093;";"
1865;5.6273;";"
1867;4.412;";"
1869;4.5227;"Performance;Black"
1870;4.5;";"
1871;4.2603;";"
1874;5.2812;";"
1876;4.771;"Candid;"
1877;5.3665;";"
1879;5.2394;";"
1881;5.1792;";"
1882;5.3453;"Nature;"
1883;5.2103;";"
1884;5.5342;";"
1886;5.4055;";"
1888;5.4658;";"
1890;4.9111;";"
1891;6.3394;";"
1892;5.289;";"
1893;6.278;";"
1894;6.1644;";"
1895;3.7523;";"
1896;3.9502;";"
1898;5.5273;"Portraiture;Black"
1900;5.0236;"Water;"
1901;6.1389;";"
1902;5.3182;";"
1903;6.704;";"
1904;5.362;";"
1905;5.2093;"Family;Portraiture"
1906;3.0734;";"
1907;4.4862;";"
1908;3.8194;";"
1909;5.3955;"Landscape;Candid"
1910;4.8791;";"
1911;5.0946;";"
1912;8.1403;";"
1914;5.0734;";"
1915;4.8326;";"
1916;4.8491;";"
1917;5.5333;";"
1918;4.786;";"
1919;4.12;";"
1920;5.8117;";"
1921;4.2593;";"
1922;6.211;";"
1923;5.6239;"Sky;Water"
1924;5.2703;";"
1925;4.4225;";"
1926;5.8565;"Portraiture;Black"
1927;5.2182;";"
1928;5.463;"Portraiture;Action"
1930;7.3028;"Portraiture;"
1931;6.5;";"
1932;4.212;";"
1933;5.7014;";"
1934;6.1222;";"
1935;6.9864;"Fashion;Emotive"
1938;4.0591;";"
1939;5.0138;";"
1941;3.8532;"Sports;"
1942;6.4545;"Candid;Black"
1943;4.7917;";"
1944;4.9861;";"
1945;5.6532;";"
1946;5.614;";"
1947;7.0829;"Portraiture;Black"
1948;6.5773;";"
1949;5.0852;";"
1950;4.1416;"Abstract;"
1952;5.8341;";"
1953;5.3394;";"
1954;4.5991;";"
1955;6.3578;"Candid;Black"
1956;4.7834;";"
1958;4.5849;";"
1959;6.6438;";"
1960;6.0091;";"
1961;5.1619;";"
1965;6.3116;";"
1967;5.722;"Candid;"
1971;4.021;";"
1976;5.4213;";"
1980;4.8306;";"
1983;4.0897;";"
1984;5.5523;";"
1989;5.523;";"
1990;6.3102;";"
1995;6.0367;";"
1996;4.9875;";"
2002;4.5042;";"
2008;5.5542;";"
2009;5.8692;";"
2010;5.888;";"
2013;6.8449;"Landscape;Black"
2017;5.6025;";"
2018;4.5436;";"
2019;5.9218;"Abstract;Black"
2020;4.9914;";"
2021;4.6402;";"
2023;5.8772;";"
2024;5.2286;";"
2027;3.7331;";"
2030;3.8148;";"
2033;4.7595;";"
2039;5.6976;";"
2041;5.722;"Family;Candid"
2042;5.1398;"Abstract;Black"
2044;6.5359;";"
2046;4.5265;";"
2053;4.4149;";"
2054;4.5292;";"
2055;5.4093;";"
2059;5.7042;"Nature;Animals"
2062;4.4435;";"
2066;4.9008;";"
2071;5.4776;";"
2075;4.8536;";"
2077;6.217;";"
2078;4.1838;";"
2079;4.6163;";"
2080;5.9492;";"
2081;4.4587;";"
2082;5.4667;"Black;"
2083;5.3522;"Black;Action"
2085;5.5696;";"
2086;5.2972;";"
2087;4.5607;";"
2091;5.502;";"
2092;5.431;";"
2093;5.9303;"Nature;Black"
2094;6.4481;";"
2096;4.9547;";"
2097;6.5103;";"
2098;5.4026;";"
2099;6.1475;";"
2100;4.2857;";"
2101;5.9456;"Animals;Black"
2102;5.3856;";"
2103;6.2769;";"
2104;5.5761;"Emotive;Black"
2105;4.9578;";"
2106;4.166;";"
2107;5.9625;";"
2108;4.6543;";"
2111;6.0456;";"
2113;2.9879;";"
2114;6.1826;";"
2115;5.9833;"Black;Self"
2116;5.4412;";"
2119;4.6432;";"
2122;4.8565;";"
2123;4.983;";"
2125;4.5021;";"
2126;4.6329;";"
2127;5.6802;";"
2128;5.7;";"
2129;6.3911;"Animals;Black"
2130;5.6176;";"
2131;4.7792;";"
2132;5.3237;";"
2133;5.1516;"Black;Water"
2134;6.0984;";"
2137;5.0042;";"
